RNK,TEAM,TEAM_INITIAL,TOTAL_POINT,PREVIOUS_POINT,+/-,POSITION
1,Belgium,BEL,1780,1780,0,#UEFA#
2,France,FRA,1755,1755,0,#UEFA#
3,Brazil,BRA,1743,1743,0,#CONMEBOL#
4,England,ENG,1670,1670,0,#UEFA#
5,Portugal,POR,1662,1662,0,#UEFA#
6,Spain,ESP,1645,1645,0,#UEFA#
7,Argentina,ARG,1642,1642,0,#CONMEBOL#
8,Uruguay,URU,1639,1639,0,#CONMEBOL#
9,Mexico,MEX,1632,1632,0,#CONCACAF#
10,Italy,ITA,1625,1625,0,#UEFA#
11,Croatia,CRO,1617,1617,0,#UEFA#
12,Denmark,DEN,1614,1614,0,#UEFA#
13,Germany,GER,1610,1610,0,#UEFA#
14,Netherlands,NED,1609,1609,0,#UEFA#
15,Colombia,COL,1601,1601,0,#CONMEBOL#
16,Switzerland,SUI,1593,1586,0,#UEFA#
17,Chile,CHI,1567,1567,0,#CONMEBOL#
18,Wales,WAL,1562,1562,0,#UEFA#
19,Poland,POL,1559,1559,0,#UEFA#
20,Senegal,SEN,1558,1558,0,#CAF#
20,Sweden,SWE,1558,1558,0,#UEFA#
22,USA,USA,1545,1545,0,#CONCACAF#
23,Austria,AUT,1531,1531,0,#UEFA#
24,Ukraine,UKR,1521,1528,0,#UEFA#
25,Peru,PER,1512,1512,0,#CONMEBOL#
26,Tunisia,TUN,1503,1503,0,#CAF#
27,Japan,JPN,1502,1502,0,#AFC#
28,Venezuela,VEN,1501,1501,0,#CONMEBOL#
29,IR Iran,IRN,1496,1496,0,#AFC#
30,Serbia,SRB,1495,1495,0,#UEFA#
31,Algeria,ALG,1488,1488,0,#CAF#
32,Turkey,TUR,1487,1487,0,#UEFA#
33,Slovakia,SVK,1478,1478,0,#UEFA#
34,Paraguay,PAR,1476,1476,0,#CONMEBOL#
35,Morocco,MAR,1474,1474,0,#CAF#
35,Nigeria,NGA,1474,1474,0,#CAF#
37,Romania,ROU,1466,1466,0,#UEFA#
38,Korea Republic,KOR,1465,1465,0,#AFC#
39,Russia,RUS,1461,1461,0,#UEFA#
40,Hungary,HUN,1460,1460,0,#UEFA#
41,Australia,AUS,1457,1457,0,#AFC#
42,Czech Republic,CZE,1456,1456,0,#UEFA#
42,Republic of Ireland,IRL,1456,1456,0,#UEFA#
44,Norway,NOR,1450,1450,0,#UEFA#
45,Northern Ireland,NIR,1440,1440,0,#UEFA#
46,Iceland,ISL,1438,1438,0,#UEFA#
47,Jamaica,JAM,1437,1437,0,#CONCACAF#
48,Scotland,SCO,1436,1436,0,#UEFA#
49,Egypt,EGY,1432,1432,0,#CAF#
50,Cameroon,CMR,1428,1428,0,#CAF#
51,Costa Rica,CRC,1427,1427,0,#CONCACAF#
52,Ghana,GHA,1424,1424,0,#CAF#
53,Greece,GRE,1413,1413,0,#UEFA#
54,Finland,FIN,1411,1411,0,#UEFA#
55,Bosnia and Herzegovina,BIH,1410,1410,0,#UEFA#
56,Ecuador,ECU,1409,1409,0,#CONMEBOL#
57,Mali,MLI,1408,1408,0,#CAF#
58,Burkina Faso,BFA,1391,1391,0,#CAF#
58,Qatar,QAT,1391,1387,1,#AFC#
60,Congo DR,COD,1386,1386,0,#CAF#
61,Côte d'Ivoire,CIV,1384,1384,0,#CAF#
62,Slovenia,SVN,1379,1379,0,#UEFA#
63,Montenegro,MNE,1370,1370,0,#UEFA#
64,Honduras,HON,1367,1367,0,#CONCACAF#
65,North Macedonia,MKD,1362,1362,0,#UEFA#
66,Albania,ALB,1360,1360,0,#UEFA#
67,Saudi Arabia,KSA,1353,1353,0,#AFC#
68,Bulgaria,BUL,1350,1350,0,#UEFA#
69,Iraq,IRQ,1347,1347,0,#AFC#
70,El Salvador,SLV,1346,1346,0,#CONCACAF#
71,South Africa,RSA,1341,1341,0,#CAF#
72,Canada,CAN,1332,1332,0,#CONCACAF#
73,Guinea,GUI,1329,1329,0,#CAF#
74,United Arab Emirates,UAE,1326,1326,0,#AFC#
75,China PR,CHN,1323,1323,0,#AFC#
76,Curaçao,CUW,1313,1313,0,#CONCACAF#
76,Syria,SYR,1313,1313,0,#AFC#
78,Panama,PAN,1311,1311,0,#CONCACAF#
79,Uganda,UGA,1307,1307,0,#CAF#
79,Bolivia,BOL,1307,1307,0,#CONMEBOL#
81,Cabo Verde,CPV,1306,1306,0,#CAF#
82,Oman,OMA,1303,1303,0,#AFC#
83,Benin,BEN,1302,1302,0,#CAF#
84,Haiti,HAI,1285,1285,0,#CONCACAF#
85,Uzbekistan,UZB,1283,1283,0,#AFC#
86,Gabon,GAB,1280,1280,0,#CAF#
87,Israel,ISR,1279,1279,0,#UEFA#
88,Belarus,BLR,1269,1269,0,#UEFA#
89,Georgia,GEO,1267,1267,0,#UEFA#
90,Zambia,ZAM,1265,1266,0,#CAF#
91,Congo,CGO,1264,1264,0,#CAF#
92,Lebanon,LBN,1263,1263,0,#AFC#
93,Vietnam,VIE,1258,1258,0,#AFC#
94,Madagascar,MAD,1257,1257,0,#CAF#
95,Jordan,JOR,1244,1244,0,#AFC#
96,Kyrgyz Republic,KGZ,1240,1240,0,#AFC#
97,Bahrain,BHR,1238,1238,0,#AFC#
98,Luxembourg,LUX,1235,1235,0,#UEFA#
99,Armenia,ARM,1233,1233,0,#UEFA#
100,Cyprus,CYP,1224,1224,0,#UEFA#
101,Mauritania,MTN,1207,1207,0,#CAF#
102,Palestine,PLE,1204,1204,0,#AFC#
103,Trinidad and Tobago,TRI,1201,1201,0,#CONCACAF#
104,Kenya,KEN,1187,1187,0,#CAF#
104,India,IND,1187,1187,0,#AFC#
106,Mozambique,MOZ,1185,1185,0,#CAF#
107,Faroe Islands,FRO,1183,1183,0,#UEFA#
108,Zimbabwe,ZIM,1181,1181,0,#CAF#
109,Azerbaijan,AZE,1180,1180,0,#UEFA#
109,Estonia,EST,1180,1180,0,#UEFA#
111,Thailand,THA,1178,1178,0,#AFC#
111,Libya,LBY,1178,1178,0,#CAF#
113,Niger,NIG,1173,1173,0,#CAF#
114,Central African Republic,CTA,1171,1171,0,#CAF#
115,Korea DPR,PRK,1170,1170,0,#AFC#
116,Sierra Leone,SLE,1165,1165,0,#CAF#
117,Kosovo,KVX,1155,1155,0,#UEFA#
118,New Zealand,NZL,1149,1149,0,#OFC#
119,Namibia,NAM,1147,1147,0,#CAF#
120,Guinea-Bissau,GNB,1146,1146,0,#CAF#
121,Tajikistan,TJK,1143,1143,0,#AFC#
122,Kazakhstan,KAZ,1142,1142,0,#UEFA#
123,Malawi,MWI,1140,1140,0,#CAF#
124,Philippines,PHI,1136,1136,0,#AFC#
125,Angola,ANG,1134,1134,0,#CAF#
126,Antigua and Barbuda,ATG,1127,1127,0,#CONCACAF#
127,Sudan,SDN,1124,1124,0,#CAF#
128,Togo,TOG,1115,1115,0,#CAF#
129,Lithuania,LTU,1114,1114,0,#UEFA#
130,Comoros,COM,1112,1112,0,#CAF#
131,Guatemala,GUA,1111,1111,0,#CONCACAF#
132,Turkmenistan,TKM,1107,1107,0,#AFC#
133,Rwanda,RWA,1099,1099,0,#CAF#
134,Equatorial Guinea,EQG,1097,1097,0,#CAF#
135,Tanzania,TAN,1085,1085,0,#CAF#
136,Latvia,LVA,1082,1082,0,#UEFA#
137,Myanmar,MYA,1081,1081,0,#AFC#
138,Chinese Taipei,TPE,1078,1078,0,#AFC#
138,Burundi,BDI,1078,1078,0,#CAF#
140,St. Kitts and Nevis,SKN,1074,1074,0,#CONCACAF#
141,Suriname,SUR,1073,1073,0,#CONCACAF#
141,Solomon Islands,SOL,1073,1073,0,#OFC#
143,Lesotho,LES,1072,1072,0,#CAF#
143,Hong Kong,HKG,1072,1072,0,#AFC#
145,Yemen,YEM,1071,1071,0,#AFC#
146,Botswana,BOT,1066,1066,0,#CAF#
146,Ethiopia,ETH,1066,1064,1,#CAF#
148,Kuwait,KUW,1060,1060,0,#AFC#
149,Nicaragua,NCA,1055,1055,0,#CONCACAF#
150,Afghanistan,AFG,1052,1052,0,#AFC#
151,Andorra,AND,1048,1048,0,#UEFA#
152,Liberia,LBR,1047,1047,0,#CAF#
153,Malaysia,MAS,1040,1040,0,#AFC#
153,Eswatini,SWZ,1040,1040,0,#CAF#
155,Maldives,MDV,1038,1038,0,#AFC#
156,New Caledonia,NCL,1035,1035,0,#OFC#
157,Gambia,GAM,1034,1034,0,#CAF#
158,Singapore,SIN,1020,1020,0,#AFC#
159,Dominican Republic,DOM,1019,1019,0,#CONCACAF#
160,Grenada,GRN,1015,1015,0,#CONCACAF#
161,Tahiti,TAH,1014,1014,0,#OFC#
162,Barbados,BRB,1009,1009,0,#CONCACAF#
163,South Sudan,SSD,998,998,0,#CAF#
164,Fiji,FIJ,996,996,0,#OFC#
164,Vanuatu,VAN,996,996,0,#OFC#
166,Papua New Guinea,PNG,991,991,0,#OFC#
167,Guyana,GUY,988,988,0,#CONCACAF#
168,St. Vincent and the Grenadines,VIN,986,986,0,#CONCACAF#
169,Bermuda,BER,983,983,0,#CONCACAF#
170,Belize,BLZ,974,974,0,#CONCACAF#
171,Nepal,NEP,968,968,0,#AFC#
172,Mauritius,MRI,965,965,0,#CAF#
173,Cambodia,CAM,964,964,0,#AFC#
173,Indonesia,IDN,964,964,0,#AFC#
175,St. Lucia,LCA,953,953,0,#CONCACAF#
176,Malta,MLT,951,951,0,#UEFA#
177,Moldova,MDA,950,950,0,#UEFA#
178,Chad,CHA,947,947,0,#CAF#
179,Puerto Rico,PUR,941,941,0,#CONCACAF#
180,Cuba,CUB,936,936,0,#CONCACAF#
181,Liechtenstein,LIE,924,924,0,#UEFA#
182,Macau,MAC,922,922,0,#AFC#
183,Montserrat,MSR,921,921,0,#CONCACAF#
184,Djibouti,DJI,919,919,1,#CAF#
184,Dominica,DMA,919,919,1,#CONCACAF#
186,Bangladesh,BAN,917,920,-2,#AFC#
187,São Tomé and Príncipe,STP,914,914,0,#CAF#
188,Laos,LAO,912,912,0,#AFC#
189,Bhutan,BHU,911,911,0,#AFC#
190,Mongolia,MNG,906,906,0,#AFC#
191,Brunei Darussalam,BRU,904,904,0,#AFC#
192,American Samoa,ASA,900,900,0,#OFC#
193,Cayman Islands,CAY,897,897,0,#CONCACAF#
194,Samoa,SAM,894,894,0,#OFC#
195,Gibraltar,GIB,888,888,0,#UEFA#
196,Bahamas,BAH,880,880,0,#CONCACAF#
197,Somalia,SOM,879,879,0,#CAF#
197,Timor-Leste,TLS,879,879,0,#AFC#
199,Guam,GUM,873,873,0,#AFC#
200,Aruba,ARU,867,867,0,#CONCACAF#
200,Pakistan,PAK,867,867,0,#AFC#
202,Seychelles,SEY,866,866,0,#CAF#
203,Tonga,TGA,862,862,0,#OFC#
203,Turks and Caicos Islands,TCA,862,862,0,#CONCACAF#
205,Eritrea,ERI,856,856,0,#CAF#
206,Sri Lanka,SRI,853,853,0,#AFC#
207,US Virgin Islands,VIR,844,844,0,#CONCACAF#
208,British Virgin Islands,VGB,842,842,0,#CONCACAF#
209,Anguilla,AIA,821,821,0,#CONCACAF#
210,San Marino,SMR,810,810,0,#UEFA#
